"week_ending_date","nhs_board_cypher","nhs_board_name","location_code","location_name","attendance","number_over_4_hours","percentage_within_4_hours","number_over_8_hours","percentage_within_8_hours","number_over_12_hours","percentage_within_12_hours"
2015-02-22,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2161,422,80.5,52,97.6,4,99.8
2015-02-22,"B","NHS Borders","B","NHS Borders",517,54,89.6,1,99.8,0,100
2015-02-22,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",800,37,95.4,1,99.9,0,100
2015-02-22,"F","NHS Fife","F","NHS Fife",1284,149,88.4,22,98.3,7,99.5
2015-02-22,"V","NHS Forth Valley","V","NHS Forth Valley",1095,42,96.2,0,100,0,100
2015-02-22,"N","NHS Grampian","N","NHS Grampian",1877,196,89.6,38,98,4,99.8
2015-02-22,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7579,1823,75.9,463,93.9,127,98.3
2015-02-22,"H","NHS Highland","H","NHS Highland",950,47,95.1,1,99.9,0,100
2015-02-22,"L","NHS Lanarkshire","L","NHS Lanarkshire",3648,524,85.6,120,96.7,45,98.8
2015-02-22,"S","NHS Lothian","S","NHS Lothian",3916,216,94.5,34,99.1,0,100
2015-02-22,"R","NHS Orkney","R","NHS Orkney",91,6,93.4,0,100,0,100
2015-02-22,"Z","NHS Shetland","Z","NHS Shetland",146,4,97.3,0,100,0,100
2015-02-22,"T","NHS Tayside","T","NHS Tayside",1336,17,98.7,1,99.9,0,100
2015-02-22,"W","NHS Western Isles","W","NHS Western Isles",113,3,97.3,0,100,0,100
2015-03-01,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2189,307,86,22,99,4,99.8
2015-03-01,"B","NHS Borders","B","NHS Borders",542,43,92.1,2,99.6,0,100
2015-03-01,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",839,51,93.9,1,99.9,0,100
2015-03-01,"F","NHS Fife","F","NHS Fife",1223,134,89,20,98.4,2,99.8
2015-03-01,"V","NHS Forth Valley","V","NHS Forth Valley",1050,51,95.1,0,100,0,100
2015-03-01,"N","NHS Grampian","N","NHS Grampian",1931,179,90.7,14,99.3,0,100
2015-03-01,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7544,1659,78,340,95.5,102,98.6
2015-03-01,"H","NHS Highland","H","NHS Highland",923,70,92.4,10,98.9,2,99.8
2015-03-01,"L","NHS Lanarkshire","L","NHS Lanarkshire",3442,517,85,151,95.6,76,97.8
2015-03-01,"S","NHS Lothian","S","NHS Lothian",4020,272,93.2,19,99.5,1,100
2015-03-01,"R","NHS Orkney","R","NHS Orkney",84,4,95.2,0,100,0,100
2015-03-01,"Z","NHS Shetland","Z","NHS Shetland",152,3,98,0,100,0,100
2015-03-01,"T","NHS Tayside","T","NHS Tayside",1343,23,98.3,0,100,0,100
2015-03-01,"W","NHS Western Isles","W","NHS Western Isles",119,6,95,0,100,0,100
2015-03-08,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2179,282,87.1,30,98.6,7,99.7
2015-03-08,"B","NHS Borders","B","NHS Borders",557,65,88.3,1,99.8,0,100
2015-03-08,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",846,27,96.8,1,99.9,0,100
2015-03-08,"F","NHS Fife","F","NHS Fife",1141,129,88.7,37,96.8,5,99.6
2015-03-08,"V","NHS Forth Valley","V","NHS Forth Valley",1183,221,81.3,23,98.1,0,100
2015-03-08,"N","NHS Grampian","N","NHS Grampian",1899,156,91.8,12,99.4,0,100
2015-03-08,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7359,1130,84.6,80,98.9,2,100
2015-03-08,"H","NHS Highland","H","NHS Highland",943,30,96.8,1,99.9,0,100
2015-03-08,"L","NHS Lanarkshire","L","NHS Lanarkshire",3369,242,92.8,30,99.1,4,99.9
2015-03-08,"S","NHS Lothian","S","NHS Lothian",3989,182,95.4,15,99.6,1,100
2015-03-08,"R","NHS Orkney","R","NHS Orkney",94,0,100,0,100,0,100
2015-03-08,"Z","NHS Shetland","Z","NHS Shetland",137,2,98.5,0,100,0,100
2015-03-08,"T","NHS Tayside","T","NHS Tayside",1330,18,98.6,1,99.9,0,100
2015-03-08,"W","NHS Western Isles","W","NHS Western Isles",125,2,98.4,0,100,0,100
2015-03-15,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2131,199,90.7,25,98.8,16,99.2
2015-03-15,"B","NHS Borders","B","NHS Borders",508,40,92.1,0,100,0,100
2015-03-15,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",813,21,97.4,0,100,0,100
2015-03-15,"F","NHS Fife","F","NHS Fife",1158,128,88.9,20,98.3,0,100
2015-03-15,"V","NHS Forth Valley","V","NHS Forth Valley",1121,50,95.5,3,99.7,0,100
2015-03-15,"N","NHS Grampian","N","NHS Grampian",1909,128,93.3,17,99.1,2,99.9
2015-03-15,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7329,794,89.2,58,99.2,0,100
2015-03-15,"H","NHS Highland","H","NHS Highland",960,33,96.6,1,99.9,0,100
2015-03-15,"L","NHS Lanarkshire","L","NHS Lanarkshire",3533,329,90.7,29,99.2,0,100
2015-03-15,"S","NHS Lothian","S","NHS Lothian",4160,211,94.9,14,99.7,1,100
2015-03-15,"R","NHS Orkney","R","NHS Orkney",95,0,100,0,100,0,100
2015-03-15,"Z","NHS Shetland","Z","NHS Shetland",156,8,94.9,0,100,0,100
2015-03-15,"T","NHS Tayside","T","NHS Tayside",1260,16,98.7,0,100,0,100
2015-03-15,"W","NHS Western Isles","W","NHS Western Isles",105,1,99,0,100,0,100
2015-03-22,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2292,262,88.6,23,99,3,99.9
2015-03-22,"B","NHS Borders","B","NHS Borders",540,43,92,4,99.3,0,100
2015-03-22,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",898,39,95.7,0,100,0,100
2015-03-22,"F","NHS Fife","F","NHS Fife",1218,110,91,16,98.7,0,100
2015-03-22,"V","NHS Forth Valley","V","NHS Forth Valley",1144,47,95.9,0,100,0,100
2015-03-22,"N","NHS Grampian","N","NHS Grampian",1924,154,92,11,99.4,0,100
2015-03-22,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7696,945,87.7,77,99,0,100
2015-03-22,"H","NHS Highland","H","NHS Highland",1045,58,94.4,1,99.9,0,100
2015-03-22,"L","NHS Lanarkshire","L","NHS Lanarkshire",3569,194,94.6,14,99.6,2,99.9
2015-03-22,"S","NHS Lothian","S","NHS Lothian",4149,282,93.2,49,98.8,3,99.9
2015-03-22,"R","NHS Orkney","R","NHS Orkney",93,0,100,0,100,0,100
2015-03-22,"Z","NHS Shetland","Z","NHS Shetland",138,1,99.3,0,100,0,100
2015-03-22,"T","NHS Tayside","T","NHS Tayside",1425,9,99.4,0,100,0,100
2015-03-22,"W","NHS Western Isles","W","NHS Western Isles",116,2,98.3,0,100,0,100
2015-03-29,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2323,346,85.1,48,97.9,1,100
2015-03-29,"B","NHS Borders","B","NHS Borders",548,48,91.2,2,99.6,0,100
2015-03-29,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",918,22,97.6,1,99.9,0,100
2015-03-29,"F","NHS Fife","F","NHS Fife",1200,113,90.6,21,98.3,8,99.3
2015-03-29,"V","NHS Forth Valley","V","NHS Forth Valley",1146,63,94.5,1,99.9,0,100
2015-03-29,"N","NHS Grampian","N","NHS Grampian",1944,99,94.9,5,99.7,0,100
2015-03-29,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7630,916,88,48,99.4,1,100
2015-03-29,"H","NHS Highland","H","NHS Highland",1032,45,95.6,2,99.8,0,100
2015-03-29,"L","NHS Lanarkshire","L","NHS Lanarkshire",3683,338,90.8,56,98.5,10,99.7
2015-03-29,"S","NHS Lothian","S","NHS Lothian",4295,279,93.5,31,99.3,2,100
2015-03-29,"R","NHS Orkney","R","NHS Orkney",72,1,98.6,0,100,0,100
