"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval","data_source"
"S08000015","Health board","NHS Ayrshire & Arran",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",27042.3,7768.3,7865.3,7672.2,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",7888,7458.3,7630.5,7288.9,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",9264,6381.6,6516.9,6248.3,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",17917.3,6965,7073.1,6858,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",33841.7,7005,7083.7,6927,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",21116,7334.1,7437.1,7232.1,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",44674.7,6415.1,6478.2,6352.4,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1230,6651.4,7046,6273,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1295.3,6524.3,6914.9,6149.4,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2232,8496.6,8871,8133.8,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22424.7,6835.7,6929.8,6742.6,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",26746.3,7106.3,7194.5,7018.9,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",81648.3,8090.4,8149.3,8031.8,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2003,"2002 to 2004 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",45873.3,8196.6,8277.4,8116.4,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",27591,7879.7,7976.9,7783.4,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",8010,7492.9,7664.1,7324.4,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",9276.7,6332.3,6466.6,6200.1,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",18222.7,7014.7,7122.5,6908.2,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",33820.7,6935.9,7013.6,6858.8,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",21086,7236.4,7338.2,7135.7,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",45593,6508,6571.3,6445.2,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1226,6540.6,6930.2,6167.1,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1322,6577.9,6964,6207.2,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2164.7,8182.5,8550.5,7826,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22616,6840.6,6934.1,6748.1,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",26806.3,7067.7,7155.2,6981,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",80389.3,7992,8050.7,7933.7,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2004,"2003 to 2005 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",45264.7,8025.6,8105,7946.7,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",28241.7,8009.6,8106.9,7913.1,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",8372.3,7759.6,7933,7589,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",9367.7,6340.4,6474.2,6208.7,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",18323.7,6973.4,7079.9,6867.9,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",33513.3,6793.7,6869.9,6718.1,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",21252.3,7184.9,7285.5,7085.3,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",47343.3,6689.1,6752.7,6625.9,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1222,6425,6809.6,6056.4,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1407,6875.9,7264,6503,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2026,7572.4,7926.3,7229.9,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22934.7,6873.7,6966.8,6781.5,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",27052.3,7064.1,7151,6978,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",80921.7,8026.8,8085.4,7968.6,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",45470.7,7967,8045.2,7889.2,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",29357,8258,8356.1,8160.7,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",8633.3,7929,8103.4,7757.3,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",9589.7,6418.5,6552.1,6287,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",18592,6983.6,7089.4,6878.9,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",33902.7,6778.7,6854.2,6703.8,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",21442.7,7134.9,7234.2,7036.6,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",48922,6821.6,6885.3,6758.3,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1253.7,6476,6859.7,6108,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1423,6869.2,7253.7,6499.6,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1960,7239.4,7582.8,6907.2,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",23453,6952.8,7045.7,6860.7,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",27529.7,7113.4,7200,7027.5,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",82223,8124.4,8183,8066,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",46099.3,7989.2,8066.9,7912,"Public Health Scotland (SMR01)"
